UID          PID    PPID  C STIME TTY          TIME CMD
rtkit        942       1  0 00:01 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1081       1  0 00:01 ?        00:00:03 /usr/libexec/upowerd
root        1109       1  0 00:01 ?        00:00:00 /usr/libexec/packagekitd
colord      1250       1  0 00:01 ?        00:00:00 /usr/libexec/colord
root        1464     824  0 00:01 ?        00:00:00 gdm-session-worker [pam/gdm-password]
ousmanj     1470       1  0 00:01 ?        00:00:00 /lib/systemd/systemd --user
ousmanj     1471    1470  0 00:01 ?        00:00:00 (sd-pam)
ousmanj     1477    1470  0 00:02 ?        00:00:00 /usr/bin/pipewire
ousmanj     1478    1470  0 00:02 ?        00:00:00 /usr/bin/pipewire-media-session
ousmanj     1480    1470  0 00:02 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
ousmanj     1483       1  0 00:02 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
ousmanj     1491    1470  0 00:02 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
ousmanj     1497    1470  0 00:02 ?        00:00:00 /usr/libexec/gvfsd
ousmanj     1501    1470  0 00:02 ?        00:00:00 /usr/libexec/xdg-document-portal
ousmanj     1506    1470  0 00:02 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
ousmanj     1507    1470  0 00:02 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1516    1501  0 00:02 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
ousmanj     1532    1464  0 00:02 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
ousmanj     1538    1532  0 00:02 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
ousmanj     1614    1470  0 00:02 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
ousmanj     1687    1470  0 00:02 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
ousmanj     1723    1470  2 00:02 ?        00:01:15 /usr/bin/gnome-shell
ousmanj     1724    1687  0 00:02 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
ousmanj     1732    1724  0 00:02 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
ousmanj     1746    1470  0 00:02 ?        00:00:00 /snap/snapd-desktop-integration/14/bin/snapd-desktop-integration
ousmanj     1808    1470  0 00:02 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
ousmanj     1821    1470  0 00:02 ?        00:00:00 /usr/libexec/evolution-source-registry
ousmanj     1828    1470  0 00:02 ?        00:00:00 /usr/libexec/dconf-service
ousmanj     1839    1470  0 00:02 ?        00:00:00 /usr/libexec/goa-daemon
ousmanj     1853    1470  0 00:02 ?        00:00:00 /usr/libexec/evolution-calendar-factory
ousmanj     1881    1470  0 00:02 ?        00:00:00 /usr/libexec/goa-identity-service
ousmanj     1888    1470  0 00:02 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
ousmanj     1894    1470  0 00:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal
ousmanj     1895    1470  0 00:02 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
ousmanj     1904    1470  0 00:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
ousmanj     1913    1470  0 00:02 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
ousmanj     1921    1470  0 00:02 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
ousmanj     1927    1470  0 00:02 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
ousmanj     1934    1470  0 00:02 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
ousmanj     1946    1497  0 00:02 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
ousmanj     1955    1470  0 00:02 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
ousmanj     1957    1470  0 00:02 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
ousmanj     1963    1470  0 00:02 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
ousmanj     1965    1963  0 00:02 ?        00:00:03 /usr/bin/ibus-daemon --panel disable
ousmanj     1966    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-a11y-settings
ousmanj     1969    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-color
ousmanj     1973    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-datetime
ousmanj     1975    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-housekeeping
ousmanj     1978    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-keyboard
ousmanj     1981    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-media-keys
ousmanj     1985    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-power
ousmanj     1987    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-print-notifications
ousmanj     1988    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-rfkill
ousmanj     1989    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
ousmanj     1990    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-sharing
ousmanj     1994    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-smartcard
ousmanj     2002    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-sound
ousmanj     2004    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-wacom
ousmanj     2011    1687  0 00:02 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
ousmanj     2044    1687  0 00:02 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ousmanj     2077    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-printer
ousmanj     2110    1965  0 00:02 ?        00:00:00 /usr/libexec/ibus-memconf
ousmanj     2111    1965  0 00:02 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
ousmanj     2118    1470  0 00:02 ?        00:00:00 /usr/libexec/ibus-portal
ousmanj     2167    1965  0 00:02 ?        00:00:01 /usr/libexec/ibus-engine-simple
ousmanj     2184    1470  0 00:02 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
ousmanj     2198    1470  0 00:02 ?        00:00:00 /usr/libexec/gvfsd-metadata
ousmanj     2218    1470  0 00:02 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
ousmanj     2233    1470  0 00:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
ousmanj     2361    1723  0 00:02 ?        00:00:16 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.UEMKS1 -listen 4 -listen 5 -displayfd 6 -initfd 7
ousmanj     2364    1470  0 00:02 ?        00:00:00 /usr/libexec/gsd-xsettings
ousmanj     2390    1470  0 00:02 ?        00:00:00 /usr/libexec/ibus-x11
ousmanj     2706    1470  0 00:02 ?        00:00:00 /usr/bin/snap userd
ousmanj     3990    1687  0 00:03 ?        00:00:00 update-notifier
ousmanj     4429    1470  0 00:03 ?        00:00:22 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
ousmanj     5521    1723  0 00:25 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
root        6656       2  0 00:26 ?        00:00:00 [kworker/0:1-inet_frag_wq]
root        9213       2  0 00:27 ?        00:00:01 [kworker/u2:4-events_unbound]
root       26735       2  0 00:34 ?        00:00:01 [kworker/0:0-events]
ousmanj    26749    1470  0 00:34 ?        00:00:07 /usr/libexec/gnome-terminal-server
ousmanj    26767   26749  0 00:34 pts/0    00:00:00 bash
ousmanj    26966    1723  1 00:37 ?        00:00:24 /snap/firefox/1635/usr/lib/firefox/firefox
ousmanj    27073   26966  0 00:37 ?        00:00:00 /snap/firefox/1635/usr/lib/firefox/firefox -contentproc -parentBuildID 20220730053005 -prefsLen 25680 -prefMapSize 223384 -appDir /snap/firefox/1635/usr/lib/firefox/browser 26966 true socket
ousmanj    27093   26966  0 00:37 ?        00:00:02 /snap/firefox/1635/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 25821 -prefMapSize 223384 -jsInitLen 267752 -parentBuildID 20220730053005 -appDir /snap/firefox/1635/usr/lib/firefox/browser 26966 true tab
ousmanj    28150   26966  0 00:37 ?        00:00:00 /snap/firefox/1635/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 30464 -prefMapSize 223384 -jsInitLen 267752 -parentBuildID 20220730053005 -appDir /snap/firefox/1635/usr/lib/firefox/browser 26966 true tab
ousmanj    28166   26966  0 00:37 ?        00:00:06 /snap/firefox/1635/usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 30464 -prefMapSize 223384 -jsInitLen 267752 -parentBuildID 20220730053005 -appDir /snap/firefox/1635/usr/lib/firefox/browser 26966 true tab
ousmanj    28438   26966  0 00:38 ?        00:00:00 /snap/firefox/1635/usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 31252 -prefMapSize 223384 -jsInitLen 267752 -parentBuildID 20220730053005 -appDir /snap/firefox/1635/usr/lib/firefox/browser 26966 true tab
ousmanj    28439   26966  0 00:38 ?        00:00:00 /snap/firefox/1635/usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 31252 -prefMapSize 223384 -jsInitLen 267752 -parentBuildID 20220730053005 -appDir /snap/firefox/1635/usr/lib/firefox/browser 26966 true tab
ousmanj    28459   26966  0 00:38 ?        00:00:00 /snap/firefox/1635/usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 31252 -prefMapSize 223384 -jsInitLen 267752 -parentBuildID 20220730053005 -appDir /snap/firefox/1635/usr/lib/firefox/browser 26966 true tab
root       29015       2  0 00:57 ?        00:00:00 [kworker/u2:0-flush-8:0]
ousmanj    29046   26767  0 01:03 pts/0    00:00:00 ps -ef
